id_hogar,sexo,edad,genero,ascendencia,parentesco,estado_laboral,nper,sueldo,busca_otro_trabajo,actividad,asistencia alguna vez a enseñanza,edu preescolar,edu primaria,edu media,edu técnica,edu univ o simil,edu terciario no uni,edu posgrado,edu mag prof,parentesco_num,es_madre,hijos
1019,Femenino,42.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,35000.0,No,Fabricación de partes y accesorios para motores de vehículos,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,1
10191,Femenino,43.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,23000.0,No,Limpieza general de edificios,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
102,Femenino,62.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,55000.0,No,Actividades de médicos y odontólogos,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,"Sí, asistió",No asistió,"Sí, asistió",No asistió,6,madre,0
10201,Femenino,42.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,26000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10209,Femenino,42.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,25000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10212,Femenino,42.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,26000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10216,Femenino,69.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,8000.0,No,Actividades de los hogares en calidad de empleadores de pers,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,madre,1
10220,Femenino,69.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,6800.0,No,Actividades de los hogares en calidad de empleadores de pers,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,madre,1
10223,Femenino,69.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,8000.0,No,Actividades de los hogares en calidad de empleadores de pers,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,madre,1
10227,Femenino,69.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,8000.0,No,Actividades de los hogares en calidad de empleadores de pers,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,madre,1
1027,Femenino,42.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,32000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió","Sí, asistió",0.0,0.0,0.0,0.0,6,madre,4
1029,Femenino,39.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,55000.0,No,Actividades de la administración pública en general,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,No asistió,"Sí, asistió",No asistió,No asistió,6,madre,1
10294,Femenino,40.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,45000.0,No,Actividades de médicos y odontólogos,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,"Sí, asistió",No asistió,No asistió,No asistió,6,madre,2
10298,Femenino,40.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,45000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,"Sí, asistió",No asistió,No asistió,No asistió,6,madre,2
10300,Femenino,40.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,42000.0,No,Actividades de médicos y odontólogos,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,"Sí, asistió",No asistió,No asistió,No asistió,6,madre,2
10302,Femenino,40.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,45000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,"Sí, asistió",No asistió,No asistió,No asistió,6,madre,2
10322,Femenino,43.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,28500.0,No,Actividades de la administración pública en general,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,3
10325,Femenino,43.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,28650.0,No,Actividades de la administración pública en general,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,3
10326,Femenino,43.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,29000.0,No,Actividades de la administración pública en general,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,3
10329,Femenino,47.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,48000.0,No,Enseñanza secundaria de formación general,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,No asistió,No asistió,No asistió,"Sí, asistió",6,madre,2
10330,Femenino,47.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,48000.0,No,Enseñanza secundaria de formación general,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,No asistió,No asistió,No asistió,"Sí, asistió",6,madre,2
10337,Femenino,40.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,55000.0,No,Enseñanza secundaria de formación general,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,No asistió,No asistió,No asistió,"Sí, asistió",6,madre,1
10338,Femenino,67.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,15000.0,No,Actividades de los hogares en calidad de empleadores de pers,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,1
10342,Femenino,67.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,9000.0,No,Actividades de los hogares en calidad de empleadores de pers,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,1
10346,Femenino,67.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,5000.0,No,Actividades de los hogares en calidad de empleadores de pers,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,1
10349,Femenino,47.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,35000.0,No,"Fideicomisos, fondos y otras fuentes de financiamiento",Sí,"Sí, asistió","Sí, asistió","Sí, asistió","Sí, asistió",0.0,0.0,0.0,0.0,6,madre,0
10360,Femenino,35.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,20000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió","Sí, asistió",0.0,0.0,0.0,0.0,6,madre,2
10363,Femenino,35.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,20000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió","Sí, asistió",0.0,0.0,0.0,0.0,6,madre,2
10366,Femenino,35.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,32000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió","Sí, asistió",0.0,0.0,0.0,0.0,6,madre,2
10400,Femenino,45.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,19000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,0
10423,Femenino,34.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,18000.0,No,Otras actividades relacionadas con la salud humana,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,1
10428,Femenino,34.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,22000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,1
10431,Femenino,34.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,16000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,1
10456,Femenino,27.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,23800.0,No,Actividades de defensa,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,Asiste actualmente,No asistió,0.0,No asistió,6,madre,1
10461,Femenino,27.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,24500.0,No,Actividades de defensa,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,Asiste actualmente,No asistió,0.0,No asistió,6,madre,1
10464,Femenino,27.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,24600.0,No,Actividades de defensa,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,Asiste actualmente,No asistió,0.0,No asistió,6,madre,1
10467,Femenino,56.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,40800.0,No,Actividades de oficinas centrales,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,3
10471,Femenino,56.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,41700.0,No,Actividades de oficinas centrales,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,3
10473,Femenino,56.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,41500.0,No,Actividades de oficinas centrales,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,3
10482,Femenino,65.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,4000.0,No,Actividades de los hogares en calidad de empleadores de pers,Sí,No asistió,"Sí, asistió","Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,No asistió,6,madre,1
10483,Femenino,40.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,55000.0,No,Correo,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,Asiste actualmente,No asistió,0.0,No asistió,6,madre,2
10484,Femenino,65.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,4000.0,No,Actividades de los hogares en calidad de empleadores de pers,Sí,No asistió,"Sí, asistió","Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,No asistió,6,madre,1
10485,Femenino,65.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,4000.0,No,Actividades de los hogares en calidad de empleadores de pers,Sí,No asistió,"Sí, asistió","Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,No asistió,6,madre,1
10486,Femenino,40.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,55000.0,No,Correo,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,Asiste actualmente,No asistió,0.0,No asistió,6,madre,2
10487,Femenino,40.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,55000.0,No,Correo,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,Asiste actualmente,No asistió,0.0,No asistió,6,madre,2
10500,Femenino,48.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,15000.0,No,Enseñanza pre primaria y primaria,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10502,Femenino,48.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,38000.0,No,Enseñanza pre primaria y primaria,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10503,Femenino,48.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,16000.0,No,Enseñanza pre primaria y primaria,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10514,Femenino,60.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,17750.0,No,Comercio al por menor en almacenes no especializados,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,0
10519,Femenino,60.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,10500.0,No,Comercio al por menor en almacenes no especializados,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,0
1052,Femenino,52.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,30000.0,No,"Fabricación de pasta de celulosa, papel y cartón",Sí,No asistió,"Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,1
10520,Femenino,40.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,19000.0,No,Enseñanza pre primaria y primaria,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,2
10527,Femenino,60.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,12000.0,No,Comercio al por menor en almacenes no especializados,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,0
10528,Femenino,40.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,19000.0,Sí,Enseñanza pre primaria y primaria,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,2
10529,Femenino,40.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,24000.0,No,Enseñanza pre primaria y primaria,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,2
10531,Femenino,22.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,14000.0,No,Actividades de los hogares en calidad de empleadores de pers,Sí,"Sí, asistió","Sí, asistió","Sí, asistió","Sí, asistió",0.0,0.0,0.0,0.0,6,madre,1
10537,Femenino,60.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,13000.0,No,Comercio al por menor en almacenes no especializados,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,0
10550,Femenino,30.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,43000.0,No,Enseñanza superior,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,Asiste actualmente,No asistió,0.0,"Sí, asistió",6,madre,2
10551,Femenino,31.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,28000.0,No,Restaurantes y otros servicios de comidas móviles,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,0
10555,Femenino,31.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,25000.0,No,Restaurantes y otros servicios de comidas móviles,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,0
10559,Femenino,30.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,43000.0,No,Enseñanza superior,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,Asiste actualmente,No asistió,0.0,"Sí, asistió",6,madre,2
10560,Femenino,32.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,26000.0,No,Administración de instalaciones deportivas,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,0
10564,Femenino,30.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,43000.0,No,Enseñanza superior,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,Asiste actualmente,No asistió,0.0,"Sí, asistió",6,madre,2
10566,Femenino,30.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,43000.0,No,Enseñanza superior,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,Asiste actualmente,No asistió,0.0,"Sí, asistió",6,madre,2
10579,Femenino,41.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,12000.0,No,Comercio al por menor en almacenes no especializados,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,No asistió,No asistió,No asistió,No asistió,6,madre,4
1058,Femenino,43.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,2400.0,Sí,Actividades de los hogares en calidad de empleadores de pers,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,0
10583,Femenino,26.0,Mujer,Indígena,Jefe/a de hogar,Ocupados,1.0,22000.0,No,Restaurantes y otros servicios de comidas móviles,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,No asistió,No asistió,No asistió,No asistió,6,madre,1
106,Femenino,52.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,40000.0,No,Enseñanza pre primaria y primaria,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,"Sí, asistió",No asistió,No asistió,No asistió,6,madre,2
1060,Femenino,44.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,4000.0,Sí,Comercio al por menor de mercancías de segunda mano,Sí,"Sí, asistió","Sí, asistió","Sí, asistió","Sí, asistió",0.0,0.0,0.0,0.0,6,madre,1
10630,Femenino,39.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,3200.0,Sí,Actividades de los hogares en calidad de empleadores de pers,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,No asistió,No asistió,No asistió,No asistió,6,madre,2
10646,Femenino,41.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,11000.0,No,Actividades de los hogares en calidad de empleadores de pers,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,3
10658,Femenino,45.0,Mujer,Indígena,Jefe/a de hogar,Ocupados,1.0,14000.0,No,Actividades de médicos y odontólogos,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,1
10663,Femenino,46.0,Mujer,Indígena,Jefe/a de hogar,Ocupados,1.0,16000.0,No,Actividades de hospitales,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,1
10665,Femenino,46.0,Mujer,Indígena,Jefe/a de hogar,Ocupados,1.0,12000.0,No,Actividades de médicos y odontólogos,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,1
10667,Femenino,34.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,2000.0,Sí,Actividades de los hogares en calidad de empleadores de pers,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,3
10668,Femenino,46.0,Mujer,Indígena,Jefe/a de hogar,Ocupados,1.0,12650.0,No,Otras actividades relacionadas con la salud humana,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,1
1067,Femenino,41.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,18000.0,No,Instalaciones de residencias con cuidado de enfermeros,Sí,"Sí, asistió","Sí, asistió",No asistió,No asistió,0.0,0.0,0.0,0.0,6,madre,3
10670,Femenino,58.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,17700.0,No,"Destilación, rectificación y mezcla de bebidas alcohólicas",Sí,No asistió,"Sí, asistió",0.0,No asistió,0.0,0.0,0.0,0.0,6,madre,1
10671,Femenino,58.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,16000.0,No,Fabricación de los productos de la refinación del petróleo,Sí,No asistió,"Sí, asistió",0.0,No asistió,0.0,0.0,0.0,0.0,6,madre,1
10675,Femenino,39.0,Mujer,Asiática o amarilla,Jefe/a de hogar,Ocupados,1.0,28000.0,No,Actividades de mantenimiento del orden público y de segurida,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10690,Femenino,30.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,24000.0,No,Elaboración de productos de panadería,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10701,Femenino,30.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,24000.0,No,Elaboración de productos de panadería,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10706,Femenino,30.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,24000.0,No,Elaboración de productos de panadería,Sí,"Sí, asistió","Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,2
10707,Femenino,58.0,Mujer,Blanca,Jefe/a de hogar,Ocupados,1.0,12400.0,No,Actividades de los hogares en calidad de empleadores de pers,Sí,No asistió,"Sí, asistió","Sí, asistió",No asistió,0.0,0.0,0.0,0.0,6,madre,1
